STATION_NAMES,TOTAL_1ST_QUARTER,TOTAL_2ND_QUARTER,TOTAL_3RD_QUARTER,TOTAL_4TH_QUARTER,LOCATION_TOTAL_SALES
BEAT_FM_PH,2999553.72,5731326.17,2197162.08,3795533.18,14723575.15
CLASSIC_FM_PH,1719200.91,3748895.44,3953289.53,3477444.7,12898830.58
NAIJA_FM_PH,3264072.29,3386992.84,5866117.85,4612540.64,17129723.62
