STATION_NAMES,TOTAL_1ST_QUARTER,TOTAL_2ND_QUARTER,TOTAL_3RD_QUARTER,TOTAL_4TH_QUARTER,LOCATION_TOTAL_SALES
BEAT_FM_IBADAN,5788521.14,8550132.88,12918142.81,7920727.11,35177523.94
NAIJA_FM_IBADAN,2301286.31,2124323.45,1985377.8,1904640.37,8315627.93
