STATION_NAMES,TOTAL_1ST_QUARTER,TOTAL_2ND_QUARTER,TOTAL_3RD_QUARTER,TOTAL_4TH_QUARTER,LOCATION_TOTAL_SALES
BEAT_FM,71722238.74,78720505.94,80886325.48,112395711.5,343724781.7
CLASSIC_FM,81280588.61,100363503.8,118622737.4,119220082.1,419486911.9
NAIJA_FM,17460479.89,10831011.15,9684320.36,21128244.84,59104056.24
LAGOS_TALKS,24890511.61,30233912.9,16527334.81,21285574.17,92937333.49
