STATION_NAMES,TOTAL_1ST_QUARTER,TOTAL_2ND_QUARTER,TOTAL_3RD_QUARTER,TOTAL_4TH_QUARTER,LOCATION_TOTAL_SALES
BEAT_ABUJA,670032.48,1821835.12,2299880.79,4108223.47,8899971.86
CLASSIC_ABUJA,1037202.87,1912267.12,3043790.32,1593525.53,7586785.84
